srr	well	group
SRR29689537	A01	cancer
SRR29689536	A02	cancer
SRR29689535	A03	cancer
SRR29689534	A04	cancer
SRR29689533	A05	barretts
SRR29689532	A06	barretts
SRR29689531	A07	barretts
SRR29689530	A08	barretts
SRR29689529	A09	control
SRR29689528	A10	control
SRR29689527	A11	control
SRR29689526	A12	control
SRR29689525	B01	cancer
SRR29689524	B02	cancer
SRR29689523	B03	cancer
SRR29689522	B04	cancer
SRR29689521	B05	barretts
SRR29689520	B06	barretts
SRR29689519	B07	barretts
SRR29689518	B08	barretts
SRR29689517	B09	control
SRR29689516	B10	control
SRR29689515	B11	control
SRR29689514	B12	control
SRR29689513	C01	cancer
SRR29689512	C02	cancer
SRR29689511	C03	cancer
SRR29689510	C04	cancer
SRR29689509	C06	cancer
SRR29689508	C07	cancer
SRR29689507	C08	barretts
SRR29689506	C09	control
SRR29689505	C10	control
SRR29689504	C11	control
SRR29689503	C12	control
SRR29689502	D01	cancer
SRR29689501	D02	cancer
SRR29689500	D03	cancer
SRR29689499	D04	cancer
SRR29689498	D05	cancer
SRR29689497	D06	barretts
SRR29689496	D07	barretts
SRR29689495	D08	barretts
SRR29689494	D09	control
SRR29689493	D10	control
SRR29689492	D11	control
SRR29689491	D12	control
