srr	gsm	title	group	n_reads	mean_len	median_len	p25	p75	iqr	n50	frac_lt_100	frac_lt_200	frac_gt_500	frac_gt_1000	q10_n_reads	q10_mean_len	q10_median_len	q10_p25	q10_p75	q10_iqr	q10_n50	q10_frac_lt_100	q10_frac_lt_200	q10_frac_gt_500	q10_frac_gt_1000	mean_qual	frac_q10	mean_len_resid	median_len_resid	frac_lt_100_resid
SRR29689514	GSM8375965	B12	control	10395	637.9034151034151	282.0	106.0	732.0	626.0	1465	0.23982683982683983	0.4099086099086099	0.3528619528619529	0.18047138047138048	8782	676.4098155317695	337.0	131.0	806.0	675.0	1438	0.19733545889319062	0.35584149396492826	0.38726941471191073	0.19676611250284673	18.153225	0.8448292448292448	293.5327266789574	173.43268189838508	-0.33500223088206016
SRR29689493	GSM8375986	D10	control	1330725	405.21291927332845	152.0	67.0	282.0	215.0	3383	0.38215183452629203	0.6079520562099607	0.12105356102876251	0.07466531402055271	815369	385.09942247007183	171.0	77.0	291.0	214.0	1849	0.34185749028967255	0.5726928544008909	0.11502890102518001	0.06559238823158595	12.97475	0.6127253940521145	107.34998679841414	48.43611327894412	-0.12444500062738456
SRR29689494	GSM8375985	D09	control	1504178	365.833739092049	124.0	46.0	280.0	234.0	2862	0.44651364399692056	0.6319690887647605	0.11811301587976955	0.065520171149957	877380	370.2563062755021	161.0	68.0	300.0	232.0	1217	0.385057785680093	0.5764229866192527	0.12113907314960451	0.06237776106134172	12.7382145	0.5832953280795226	69.14518274023004	20.562455869054233	-0.058360246098981106
SRR29689503	GSM8375976	C12	control	86063	182.86676039645377	47.0	45.0	144.0	99.0	436	0.6407864006599816	0.8293227054599538	0.039552420900967895	0.018916375213506385	55576	167.43518785087088	45.0	45.0	160.0	115.0	361	0.6553008492874622	0.8012091550309486	0.043903843385634085	0.019036994386065927	15.166461	0.6457595017603384	-141.24365171773943	-59.38766225282376	0.09568148923143183
SRR29689504	GSM8375975	C11	control	3761735	318.41923181723325	82.0	45.0	127.0	82.0	3526	0.6406240737319349	0.8355375910317978	0.08312494101790796	0.06483284973556085	2663166	355.81812774720015	82.0	45.0	135.0	90.0	3539	0.6392136276897498	0.8097948081343784	0.09915566660133089	0.07720059508119284	14.614437	0.7079621504438777	30.516582695521947	-20.492332240062595	0.14864012165715446
SRR29689505	GSM8375974	C10	control	2921569	393.49802383582244	80.0	45.0	206.0	161.0	3527	0.57354216176308	0.7432468649550977	0.11643366971651191	0.08518607638566811	2244846	424.15945637250843	81.0	45.0	239.0	194.0	3537	0.5621922394676517	0.7130453492132646	0.13012562999867253	0.09445993177260266	16.836437	0.768370009402482	103.17268246904496	-22.75297208726468	0.07800384107669622
SRR29689506	GSM8375973	C09	control	3198690	389.1668773779266	168.0	73.0	321.0	248.0	1107	0.36022590497985113	0.5630358052827876	0.1419628035226921	0.06696647690148154	2640814	404.2826435333954	186.0	79.0	339.0	260.0	1036	0.32854415343147986	0.5275339346125854	0.15066301526726228	0.06962512316278238	17.001553	0.8255923518690463	99.71013132070232	65.34047376795009	-0.13403808632740943
SRR29689492	GSM8375987	D11	control	1060884	456.0021161597309	114.0	59.0	287.0	228.0	3452	0.456641819463768	0.6519619487144683	0.14438430591846046	0.09475871066016643	575548	462.960470716604	143.0	72.0	314.0	242.0	3512	0.40576806799780385	0.5981325623579614	0.15142090668371708	0.0932884833237193	12.05577	0.5425173723046064	155.9670243859918	10.202426450211632	-0.0531418236086067
SRR29689515	GSM8375964	B11	control	292132	221.23981967055988	85.0	43.0	188.0	145.0	543	0.5657202908274341	0.770685854339819	0.06550463489107664	0.032440814426355206	234979	230.09863434604796	87.0	43.0	201.0	158.0	549	0.5482106911681469	0.7463645687486967	0.07235965767153661	0.03526272560526685	16.902693	0.804358988402503	-91.15654905185181	-20.127433478009152	0.03780123048314821
SRR29689516	GSM8375963	B10	control	451405	210.66191114409455	63.0	40.0	186.0	146.0	558	0.6024722809893555	0.7700357771845682	0.06929697278497136	0.03121365514338565	374641	220.6621752557782	70.0	40.0	200.0	160.0	571	0.5878027231402863	0.7489142939507422	0.07595538128501686	0.03357881278343801	17.671314	0.8299442850655177	-97.56346957537258	-41.67870719922439	0.08067254053278217
